nuts3,year,yield_tha
AT111,2018,
AT111,2019,11.108268737179797
AT111,2020,16.842272308124716
AT111,2021,9.14921145082301
AT111,2022,11.091456728924207
AT111,2023,9.42434961897598
AT121,2018,
AT121,2019,9.297884846329362
AT121,2020,17.136195702331683
AT121,2021,12.435327895280366
AT121,2022,17.62789613488225
AT121,2023,11.162314122864954
AT124,2018,
AT124,2019,15.523852229839653
AT124,2020,17.219907897273
AT124,2021,16.95017207378891
AT124,2022,16.464152118124282
AT124,2023,7.792109256327174
AT211,2018,
AT211,2019,19.122497060635908
AT211,2020,21.768153036406442
AT211,2021,18.23002036300668
AT211,2022,19.44335395485611
AT211,2023,20.505605392195264
AT212,2018,
AT212,2019,10.087133141727467
AT212,2020,7.554777272828671
AT212,2021,7.5372503338391175
AT212,2022,9.615327283009126
AT212,2023,8.150458614359145
AT213,2018,
AT213,2019,16.71549742714197
AT213,2020,18.460647517539442
AT213,2021,14.124791128504103
AT213,2022,17.683062479437854
AT213,2023,16.942093505246127
AT222,2018,
AT222,2019,9.6137398884919
AT222,2020,8.267796408432996
AT222,2021,7.514648298902928
AT222,2022,10.634119795661096
AT222,2023,9.089062600189646
AT223,2018,
AT223,2019,13.742013577769665
AT223,2020,13.95312602370705
AT223,2021,12.481415471788344
AT223,2022,14.94953510495251
AT223,2023,15.79891060929316
AT226,2018,
AT226,2019,9.633161287840231
AT226,2020,8.020203611503403
AT226,2021,7.624851864742162
AT226,2022,10.911832127569054
AT226,2023,8.613586480940194
AT314,2018,
AT314,2019,16.783860477082882
AT314,2020,17.901353253284096
AT314,2021,17.087371575414814
AT314,2022,18.511282445412625
AT314,2023,16.50439758465217
AT315,2018,
AT315,2019,15.240448525788368
AT315,2020,14.811308485376063
AT315,2021,14.688417747561191
AT315,2022,16.242487794077825
AT315,2023,15.453650967728027
AT321,2018,
AT321,2019,2.965248422465548
AT321,2020,1.233566393124494
AT321,2021,1.0442580040919422
AT321,2022,3.3804630145036443
AT321,2023,1.7788747031356518
AT322,2018,
AT322,2019,10.18506646991173
AT322,2020,9.324428734670226
AT322,2021,8.52263931794
AT322,2022,12.030975073375997
AT322,2023,9.428453404341802
AT323,2018,
AT323,2019,16.532739913062056
AT323,2020,17.752987210464067
AT323,2021,17.088909622235757
AT323,2022,18.164762617384927
AT323,2023,17.21923140613517
AT331,2018,
AT331,2019,0.9829999300370857
AT331,2020,0.3951891003438136
AT331,2021,0.37139010705822045
AT331,2022,0.9273717732067598
AT331,2023,1.2471742353089723
AT332,2018,
AT332,2019,5.427922591324271
AT332,2020,3.9257983913944727
AT332,2021,3.2749764849231897
AT332,2022,6.2134878723993205
AT332,2023,6.133858892902479
AT333,2018,
AT333,2019,1.1996402621537796
AT333,2020,0.5582705960251899
AT333,2021,0.504860986773783
AT333,2022,1.4125620697038135
AT333,2023,1.1953109135190014
AT334,2018,
AT334,2019,0.5793968756255649
AT334,2020,0.3138040136200513
AT334,2021,0.3123484119120591
AT334,2022,0.7218533581222623
AT334,2023,0.7512818812714129
AT335,2018,
AT335,2019,7.911677476514917
AT335,2020,5.747528493753157
AT335,2021,5.322801357024139
AT335,2022,8.507982112294936
AT335,2023,8.564886834065
AT341,2018,
AT341,2019,1.4869009261627355
AT341,2020,0.5984814516147811
AT341,2021,0.42652705182690376
AT341,2022,1.3319151675529792
AT341,2023,1.7727191759008472
AT342,2018,
AT342,2019,14.838030358103413
AT342,2020,16.401514084337666
AT342,2021,16.33698654134528
AT342,2022,15.390596138807712
AT342,2023,14.908523365825419
BG411,2018,
BG411,2019,7.8147882651719485
BG411,2020,12.123100306602218
BG411,2021,7.518133109631526
BG411,2022,10.833026443146307
BG411,2023,11.035253007627478
BG413,2018,
BG413,2019,5.657509161791851
BG413,2020,9.229954894640908
BG413,2021,2.172702443889732
BG413,2022,7.399945626431145
BG413,2023,4.949749833767682
BG423,2018,
BG423,2019,5.262738765665238
BG423,2020,7.0036920768597195
