nuts3,constraints,lon,lat
AL111,slope; frost_damage,20.065589955481293,41.13188697673793
AT111,drainage,16.483450589216893,47.512993679126936
AT121,frost_damage,14.997626126301776,48.05306312345329
AT124,frost_damage,15.317023138756985,48.642796167421885
AT211,soil_moisture; frost_damage,14.002791930017244,46.61346153063231
AT212,slope; soil_moisture; frost_damage; gdd,13.341419680276266,46.834992584461325
AT213,slope; frost_damage; gdd,14.572906748205922,46.79571898642697
AT222,slope; soil_moisture; frost_damage; gdd,14.204208300849858,47.520423159159
AT223,slope; soil_moisture; frost_damage; gdd,15.21961702906348,47.527384336706135
AT226,slope; soil_moisture; frost_damage; gdd,14.431177617462714,47.18981101954236
AT314,soil_moisture,14.328451472592857,47.86199530865213
AT315,soil_moisture; frost_damage,13.659294709295452,47.84867830205363
AT321,slope; soil_moisture; frost_damage; gdd,13.666191009764622,47.1405308478772
AT322,slope; soil_moisture; frost_damage; gdd,12.89852555217093,47.301740271481876
AT323,soil_moisture; gdd,13.212234830915587,47.750438018123475
AT331,slope; soil_depth; soil_moisture; frost_damage; gdd,10.58257897411859,47.380018265194856
AT332,slope; soil_moisture; frost_damage; gdd,11.343722358874745,47.200829594678986
AT333,slope; soil_moisture; frost_damage; gdd,12.522796138776926,46.90608096676567
AT334,slope; soil_moisture; frost_damage; gdd,10.697560366474393,47.06115469104202
AT335,slope; soil_moisture; frost_damage; gdd,12.02303422374631,47.38960620793553
AT341,slope; soil_depth; soil_moisture; frost_damage; gdd,9.96117934292356,47.18334306994525
AT342,soil_moisture; gdd,9.725178063633384,47.386733221239155
BA111,slope; soil_depth; frost_damage,17.790938499757825,44.165385459502495
BE336,gdd,6.166795545877837,50.416359728550404
BG411,frost_damage,23.39865405708546,42.678220920600666
BG413,slope; frost_damage,23.438104274384628,41.72388454153931
BG423,frost_damage,24.146568847111233,42.13825112047415
BG424,slope; frost_damage; gdd,24.66090932424799,41.63014216449682
CZ041,gdd,12.753662877717998,50.17415626600708
DE132,gdd,7.925010449524561,47.925052515375754
DE136,gdd,8.411210696838106,48.01903867825943
DE137,gdd,8.794112464865506,48.01115773686882
DE139,soil_moisture,7.77386937089296,47.70345713938193
DE141,gdd,9.365824080438713,48.40638853815171
DE143,gdd,8.937466795549017,48.267218496011715
DE147,soil_moisture,9.388492208132746,47.71466556951043
DE148,soil_moisture,9.78002803561073,47.825065853232566
DE213,soil_moisture,12.108720964425709,47.84437277001047
DE215,soil_moisture; gdd,12.901996837835242,47.6982240178458
DE216,soil_moisture,11.483044017335756,47.727214711046834
DE218,soil_moisture,11.913231217601028,48.07612550917457
DE21D,slope; soil_moisture; gdd,11.129640330055004,47.556266991863595
DE21F,soil_moisture,11.80907705397517,47.741542757825734
DE21K,soil_moisture,12.162683614057373,47.8781739632614
DE21L,soil_moisture,11.281746128956584,48.005979003410054
DE21M,soil_moisture; frost_damage,12.57955552115633,47.89430907411725
DE21N,soil_moisture,11.048231480550285,47.78759353619173
DE225,soil_moisture,13.513326827944466,48.82688157288666
DE249,gdd,11.819230977231355,50.27318674261888
DE24D,gdd,12.041840685869285,50.090118047219185
DE263,soil_depth,9.940897819828724,49.78463781123141
DE272,soil_moisture,10.616095273033597,47.8799257744931
DE273,soil_moisture,10.308120198982177,47.73818166623278
DE27A,soil_moisture,9.856396944103459,47.598914620242525
DE27B,soil_moisture,10.639819029435648,47.769628569703876
DE27E,soil_moisture; gdd,10.258595543267283,47.572403503047454
DE401,drainage; sandy_texture,12.519300276592045,52.40271927514071
DE405,sandy_texture,13.70340030425035,52.82301686754504
DE406,drainage; sandy_texture,13.820346087252265,52.041968426435176
DE407,drainage; sandy_texture,13.459753072932017,51.61214836121749
DE408,sandy_texture,12.62856753837783,52.620975413698766
DE40A,sandy_texture,13.20534510008872,52.90631734663391
DE40B,sandy_texture,13.943369322382482,51.61589310851038
DE40C,sandy_texture,14.219816277478357,52.24396508377822
DE40D,sandy_texture,12.636096981573886,52.991148705434426
DE40E,sandy_texture,12.688990701730548,52.246128217896384
DE40F,sandy_texture,11.961749287427507,53.10928642063516
DE40G,sandy_texture,14.43297286370848,51.758316151956365
DE40H,sandy_texture,13.27589038241501,52.072877714816634
DE803,drainage,12.14292726914893,54.147391059214264
DE80L,drainage,12.991934330063557,54.28425377507581
DE80M,drainage,11.251676891878846,53.82153151024524
DE937,sandy_texture,9.30744689677919,53.250368222281246
DE948,sandy_texture,7.904952828935232,52.91071748539795
DE949,sandy_texture,7.402549585126913,52.73748530372743
DE94B,sandy_texture,7.020290083807564,52.47592732895273
DEA2D,gdd,6.217003972564222,50.7276880267077
DEA34,sandy_texture,6.89911258914517,51.961099592063036
DEA37,sandy_texture,7.579245808544598,52.21151459459775
DEA57,gdd,8.384997582765077,51.30689333052812
DEA59,soil_moisture,7.976330743203315,51.08612184308069
DEA5A,gdd,8.194744714586765,50.93766785697623
DEB3A,soil_depth,7.365373912171223,49.24815200288864
