nuts3,constraints,lon,lat
AL013,gdd,20.243061365231146,42.19524883557867
AT111,drainage,16.483019487796078,47.51282178573607
AT121,frost_damage,14.997991694925217,48.05306666216939
AT122,gdd,15.90276538154211,47.79776257774033
AT124,frost_damage,15.317262727953242,48.642772547517765
AT211,soil_moisture; frost_damage; gdd,14.002312394570634,46.61353395020697
AT212,slope; soil_moisture; frost_damage; gdd,13.341468727451684,46.83513707639419
AT213,slope; frost_damage; gdd,14.572897772787032,46.795504203289575
AT222,slope; soil_moisture; frost_damage; gdd,14.211808463717226,47.52133790214589
AT223,slope; soil_moisture; frost_damage; gdd,15.226104583918126,47.52624673629756
AT225,gdd,15.26616916615057,46.874741543778256
AT226,slope; soil_moisture; frost_damage; gdd,14.431065400238971,47.18975165421583
AT314,soil_moisture; gdd,14.328632124002427,47.861814639070616
AT315,soil_moisture; frost_damage; gdd,13.659224646142679,47.848770299349
AT321,slope; soil_moisture; frost_damage; gdd,13.666201174284641,47.14058030271981
AT322,slope; soil_moisture; frost_damage; gdd,12.898456384313404,47.3018018904514
AT323,soil_moisture; gdd,13.212293285778404,47.75047326211733
AT331,slope; soil_depth; soil_moisture; frost_damage; gdd,10.582325625576257,47.37991827838121
AT332,slope; soil_moisture; frost_damage; gdd,11.343999683050152,47.20082259108421
AT333,slope; soil_moisture; frost_damage; gdd,12.522832337230344,46.90616780568998
AT334,slope; soil_moisture; frost_damage; gdd,10.697639008255983,47.06120280766759
AT335,slope; soil_moisture; frost_damage; gdd,12.023263482097622,47.38964860975034
AT341,slope; soil_depth; soil_moisture; frost_damage; gdd,9.961270605931777,47.18340995159025
AT342,soil_moisture; gdd,9.725077576283653,47.38653655821286
BE335,gdd,5.916916393395334,50.498494008009196
BE336,gdd,6.166614734095901,50.416173052354225
BE342,gdd,5.747616540500719,50.08426884429528
BG411,frost_damage,23.3986973603868,42.678240750325095
BG413,slope; frost_damage; gdd,23.43806403062031,41.723886750311266
BG423,frost_damage; gdd,24.146587364662768,42.138256124410255
BG424,slope; frost_damage; gdd,24.66092419334527,41.63014515503032
CH011,gdd,6.657824555819953,46.5700649453808
CH012,gdd,7.604848100716272,46.20965179548658
CH021,gdd,7.625476597858159,46.82197694246033
CH022,gdd,7.073990864766231,46.71848255032266
CH024,gdd,6.779823631489136,46.995451291150424
CH025,gdd,7.1559751241679095,47.35065650393713
CH051,gdd,9.06584054812932,46.9810683976075
CH053,gdd,9.368235557188008,47.36615650156817
CH054,gdd,9.416397124865224,47.31733667765106
CH055,gdd,9.27578200251594,47.234375566187985
CH056,gdd,9.628130176195858,46.65629221848402
CH061,gdd,8.110142346570193,47.06773351490033
