cal_year;stand_year;block;density;irrigation;FBY;FSY;FLY;DMY;DSY;DLY;height_cm;diameter_mm;tillers_m2;stem_frac
2019;8;1;1;0;17.75;14.684;3.066;12.64;10.084;2.555;300.0;8.46;40.0;798
2019;8;2;2;3;32.875;26.703;6.172;22.213;17.542;4.671;335.0;8.89;65.25;0.79
2019;8;2;1;2;25.0;19.065;5.935;17.589;12.418;5.171;332.0;8.8;59.0;706
2019;8;2;2;0;17.5;14.596;2.904;12.273;9.757;2.517;295.0;7.84;29.5;795
2019;8;2;1;1;21.25;18.012;3.238;14.944;12.191;2.752;318.0;8.77;57.5;816
2019;8;2;2;1;23.0;19.04;3.96;16.411;12.907;3.503;324.0;8.48;55.5;787
2019;8;2;1;0;12.125;9.696;2.429;8.635;6.692;1.944;312.0;8.48;35.25;775
2019;8;2;2;2;29.0;22.556;6.444;19.282;13.926;5.355;330.0;8.67;63.25;722
2019;8;2;1;3;30.0;22.823;7.177;20.656;14.914;5.742;336.0;9.19;63.5;722
2019;8;2;2;1;24.25;19.911;4.339;15.765;12.308;3.457;308.0;9.01;62.25;781
2019;8;2;2;0;22.75;18.417;4.333;14.881;11.414;3.467;303.0;8.08;39.75;767
2019;8;3;1;3;25.5;21.42;4.08;17.901;14.331;3.57;342.0;9.55;81.25;801
2019;8;3;1;2;25.25;21.321;3.929;18.073;14.668;3.405;328.0;9.41;62.5;812
2019;8;3;2;2;28.5;24.038;4.462;19.337;15.47;3.867;336.0;9.02;52.5;0.8
2019;8;3;2;3;35.125;28.704;6.421;23.303;17.652;5.651;339.0;9.04;59.0;758
2019;8;3;1;0;22.125;16.554;5.571;15.599;10.824;4.775;299.0;8.21;34.0;694
2019;8;3;1;1;22.5;18.096;4.404;15.165;11.53;3.635;313.0;8.32;35.0;0.76
2020;9;1;2;0;19.5;16.128;3.372;12.792;10.065;2.727;340.0;8.28;38.75;787
2020;9;1;1;1;19.75;16.219;3.531;12.727;9.875;2.852;344.0;8.98;47.5;776
2020;9;1;1;3;27.5;22.998;4.502;17.449;13.791;3.659;345.0;9.63;77.5;0.79
2020;9;1;2;2;23.75;18.339;5.411;15.993;11.971;4.022;345.0;9.51;48.75;749
2020;9;1;1;2;23.25;18.924;4.326;15.07;11.559;3.511;318.0;8.88;59.75;767
2020;9;1;2;3;25.0;21.199;3.801;16.795;13.356;3.438;332.0;9.53;70.25;795
2020;9;1;2;1;22.0;17.614;4.386;14.814;11.228;3.586;301.0;8.62;46.5;758
2020;9;1;1;0;17.5;14.078;3.422;11.413;8.625;2.788;294.0;7.81;38.75;756
2020;9;2;2;3;32.75;27.171;5.579;20.796;16.183;4.612;347.0;9.14;65.0;778
2020;9;2;1;2;24.75;20.064;4.686;16.484;12.615;3.869;327.0;8.57;59.75;765
2020;9;2;2;0;17.75;14.453;3.297;11.689;9.067;2.621;260.0;7.59;30.5;776
2020;9;2;1;1;21.5;18.279;3.221;13.938;11.331;2.606;282.0;8.36;57.5;813
2020;9;2;2;1;23.25;17.96;5.29;16.313;11.945;4.368;301.0;8.59;54.75;732
2020;9;2;1;0;12.25;10.242;2.008;7.768;6.116;1.653;301.0;8.1;37.5;787
2020;9;2;2;2;28.0;22.896;5.104;18.278;14.097;4.181;317.0;8.85;61.5;771
2020;9;2;1;3;29.25;24.702;4.548;18.909;15.245;3.664;324.0;9.2;62.5;806
2020;9;2;2;1;23.75;19.311;4.439;15.515;11.986;3.529;304.0;8.95;59.5;773
2020;9;2;2;0;22.5;18.69;3.81;14.546;11.502;3.044;292.0;8.66;40.0;791
2020;9;3;1;3;25.5;21.796;3.704;16.388;13.111;3.278;316.0;9.95;77.5;0.8
2020;9;3;1;2;25.0;19.886;5.114;12.375;9.319;3.056;313.0;9.7;61.0;753
2020;9;3;2;2;27.75;22.386;5.364;24.432;18.435;5.996;324.0;9.1;50.5;755
2020;9;3;2;3;32.75;27.854;4.896;20.823;17.303;3.52;323.0;10.09;57.75;831
2020;9;3;1;0;20.5;16.641;3.859;12.145;9.521;2.624;300.0;8.83;32.75;784
2020;9;3;1;1;22.0;18.263;3.737;15.358;12.159;3.199;316.0;8.68;36.75;792
2021;10;1;2;0;19.0;13.3;5.7;12.264;7.837;4.427;340.0;8.96;37.5;639
2021;10;1;1;1;19.625;13.647;5.978;12.615;7.798;4.817;354.0;9.11;47.5;618
2021;10;1;1;3;27.25;19.15;8.1;17.656;11.302;6.354;360.0;9.95;73.75;0.64
2021;10;1;2;2;22.75;16.461;6.289;14.741;9.618;5.123;358.0;9.31;50.0;652
2021;10;1;1;2;24.75;18.34;6.41;15.941;10.825;5.116;326.0;8.97;57.5;679
2021;10;1;2;3;23.75;16.317;7.433;15.341;9.216;6.125;327.0;9.17;67.5;601
2021;10;1;2;1;21.625;16.753;4.872;13.976;10.012;3.965;323.0;8.43;45.0;716
2021;10;1;1;0;18.0;13.025;4.975;11.637;7.915;3.722;289.0;7.64;41.0;0.68
2021;10;2;2;3;32.0;21.568;10.432;20.964;12.484;8.481;350.0;9.85;63.25;595
2021;10;2;1;2;25.25;17.882;7.368;16.167;10.169;5.998;330.0;8.97;55.0;629
2021;10;2;2;0;17.25;12.527;4.723;11.167;7.393;3.774;226.0;8.28;32.5;662
2021;10;2;1;1;22.25;16.496;5.754;14.286;9.591;4.696;258.0;8.57;57.0;671
2021;10;2;2;1;23.75;17.294;6.456;15.342;9.977;5.364;305.0;7.91;50.75;0.65
2021;10;2;1;0;12.5;8.66;3.84;8.187;5.333;2.854;303.0;7.56;40.25;651
2021;10;2;2;2;27.25;19.711;7.539;17.567;11.58;5.987;312.0;8.01;59.25;659
2021;10;2;1;3;27.5;19.699;7.801;17.782;11.702;6.08;315.0;8.26;65.0;658
2021;10;2;2;1;21.25;16.003;5.247;13.75;9.474;4.276;305.0;8.24;60.25;689
2021;10;2;2;0;20.0;14.545;5.455;12.925;8.485;4.44;292.0;7.96;39.5;656
2021;10;3;1;3;26.25;19.329;6.921;16.854;11.229;5.626;315.0;8.85;75.0;666
2021;10;3;1;2;24.5;17.728;6.772;15.709;10.136;5.573;311.0;8.66;63.25;645
2021;10;3;2;2;27.5;20.584;6.916;17.692;12.001;5.691;315.0;8.49;55.5;678
2021;10;3;2;3;29.5;21.756;7.744;19.145;12.774;6.371;321.0;8.84;57.0;667
2021;10;3;1;0;21.25;14.283;6.967;14.081;8.709;5.372;302.0;8.02;34.75;619
2021;10;3;1;1;23.5;16.92;6.58;15.217;9.762;5.456;315.0;8.07;48.5;641
2022;11;1;2;0;20.0;13.226;6.774;13.785;7.957;5.828;253.0;7.97;37.5;577
2022;11;1;1;1;22.0;16.581;5.419;14.62;9.949;4.671;351.0;8.29;45.25;681
2022;11;1;1;3;24.5;19.321;5.179;17.341;12.939;4.402;373.0;8.62;73.75;746
2022;11;1;2;2;23.75;18.793;4.957;16.931;12.655;4.277;336.0;8.52;47.5;747
2022;11;1;1;2;26.5;21.902;4.598;19.056;15.277;3.779;322.0;8.46;57.5;802
2022;11;1;2;3;28.25;22.0;6.25;19.978;14.755;5.223;354.0;8.59;70.75;739
2022;11;1;2;1;22.75;16.623;6.127;15.341;10.212;5.129;243.0;7.65;47.25;666
2022;11;1;1;0;17.25;11.554;5.696;11.595;6.835;4.76;256.0;7.08;35.0;589
2022;11;2;2;3;24.5;19.928;4.572;17.241;13.29;3.951;354.0;8.91;62.5;771
2022;11;2;1;2;24.0;19.261;4.739;16.987;13.052;3.935;269.0;8.34;55.5;768
2022;11;2;2;0;17.75;12.798;4.952;11.525;7.685;3.839;254.0;6.64;30.0;667
2022;11;2;1;1;23.25;18.014;5.236;15.521;11.063;4.458;256.0;8.13;52.5;713
2022;11;2;2;1;21.0;15.662;5.338;14.043;9.385;4.658;256.0;8.06;46.25;668
2022;11;2;1;0;11.75;7.574;4.176;7.968;4.554;3.413;248.0;7.73;40.25;572
2022;11;2;2;2;27.25;21.71;5.54;18.671;13.929;4.741;324.0;8.28;52.5;746
2022;11;2;1;3;29.75;24.184;5.566;19.554;14.826;4.728;360.0;8.74;62.25;758
2022;11;2;2;1;25.0;18.544;6.456;16.495;10.922;5.573;257.0;8.24;55.0;662
2022;11;2;2;0;20.75;16.968;3.782;14.01;10.769;3.241;241.0;7.88;42.75;769
2022;11;3;1;3;28.0;22.886;5.114;18.603;14.305;4.298;353.0;9.24;75.0;769
2022;11;3;1;2;26.75;21.113;5.637;19.038;14.256;4.781;314.0;8.67;57.5;749
2022;11;3;2;2;29.75;24.592;5.158;20.576;16.008;4.568;349.0;8.2;43.75;778
2022;11;3;2;3;33.0;27.055;5.945;22.647;17.449;5.198;356.0;9.02;57.5;0.77
2022;11;3;1;0;18.0;11.856;6.144;12.072;7.356;4.716;251.0;7.92;37.5;609
2022;11;3;1;1;22.5;16.862;5.638;14.838;10.012;4.827;258.0;7.92;40.5;675
2023;12;1;2;0;17.0;10.852;6.148;10.98;5.777;5.203;298.0;6.82;43.75;526
