cal_year;stand_year;block;density;irrigation;FBY;FSY;FLY;DMY;DSY;DLY;height_cm;diameter_mm;tillers_m2;stem_frac
2026;15;1;1;0;14.25;10.561;3.689;10.285;7.327;2.959;227.0;7.576;53.75;712
2026;15;2;2;3;23.0;17.64;5.36;15.919;12.431;3.488;284.0;8.747;52.0;781
2026;15;2;1;2;21.5;16.749;4.751;15.824;12.185;3.639;280.0;6.816;47.5;0.77
2026;15;2;2;0;16.0;10.973;5.027;9.931;6.32;3.611;217.0;6.242;56.0;636
2026;15;2;1;1;17.5;11.695;5.805;10.662;6.59;4.072;295.0;7.174;49.5;618
2026;15;2;2;1;19.5;13.55;5.95;11.406;6.717;4.689;302.0;7.208;44.75;589
2026;15;2;1;0;15.75;11.528;4.222;10.052;6.719;3.334;222.5;6.727;51.25;668
2026;15;2;2;2;19.5;15.586;3.914;14.763;11.441;3.322;286.0;7.596;60.0;775
2026;15;2;1;3;23.5;16.963;6.537;15.052;10.476;4.576;267.0;7.007;50.75;696
2026;15;2;2;1;18.5;11.503;6.997;9.95;5.004;4.945;282.0;5.465;56.25;503
2026;15;2;2;0;15.25;10.203;5.047;10.371;6.442;3.929;232.0;7.258;69.25;621
2026;15;3;1;3;23.75;18.266;5.484;15.371;11.181;4.19;283.0;7.301;63.75;727
2026;15;3;1;2;21.25;14.076;7.174;14.636;8.915;5.721;287.0;8.728;53.5;609
2026;15;3;2;2;21.0;14.533;6.467;14.113;9.233;4.88;280.0;7.049;59.75;654
2026;15;3;2;3;23.75;18.916;4.834;15.982;12.279;3.703;294.0;8.209;59.0;768
2026;15;3;1;0;16.5;12.269;4.231;10.045;6.733;3.311;224.0;8.906;9.5;0.67
2026;15;3;1;1;18.5;13.418;5.082;11.522;7.705;3.817;246.0;7.642;57.25;669
